Index,Name,Total Population,<5 Percentage,5-17 Percentage,18-29 Percentage,30-39 Percentage,40-49 Percentage,50-64 Percentage,65-74 Percentage,75-84 Percentage,85+ Percentage,GDP (2017),Testing Capacity,Absolute Air Passengers,Latitude,Longitude
0,Germany,82792351,0.046,0.117,0.140,0.126,0.130,0.226,0.101,0.086,0.027,3693204332230,237713,109633750,52.30N,13.25E
1,UK,66273576,0.060,0.152,0.155,0.132,0.129,0.189,0.100,0.058,0.024,2637866340434,1410000,142392530,51.36N,00.05W
2,France,67026224,0.057,0.163,0.137,0.124,0.131,0.192,0.104,0.060,0.032,2582501307216,530564,71289280,48.50N,02.20E
3,Italy,60483973,0.040,0.122,0.122,0.119,0.156,0.215,0.110,0.081,0.035,1943835376342,329462,27760300,41.54N,12.29E
4,Spain,46658447,0.045,0.134,0.121,0.138,0.166,0.204,0.097,0.063,0.031,1314314164402,257295,88237170,40.25N,03.45W
5,Netherlands,17181084,0.051,0.147,0.151,0.121,0.134,0.208,0.109,0.058,0.022,830572618850,42289,46358460,52.23N,04.54E
6,Belgium,11398589,0.055,0.148,0.147,0.130,0.133,0.201,0.098,0.060,0.028,494763551891,68417,14279190,50.51N,04.21E
7,Greece,10741165,0.044,0.131,0.125,0.132,0.151,0.200,0.107,0.078,0.033,203085551429,63255,16124740,37.58N,23.46E
8,Portugal,10291027,0.041,0.129,0.127,0.126,0.153,0.207,0.111,0.075,0.029,219308128887,73839,18673910,38.42N,09.10W
9,Sweden,10120242,0.059,0.150,0.155,0.128,0.128,0.181,0.110,0.062,0.026,535607385506,51085,11623920,59.20N,18.03E
10,Hungary,9778371,0.048,0.128,0.143,0.135,0.159,0.197,0.109,0.061,0.020,139761138103,35140,39803370,47.29N,19.05E
11,Austria,8822267,0.049,0.125,0.151,0.135,0.140,0.214,0.094,0.067,0.025,416835975862,526470,46476600,48.12N,16.22E
12,Bulgaria,7050034,0.046,0.123,0.127,0.139,0.151,0.203,0.123,0.068,0.019,58220973783,16533,832830,42.45N,23.20E
13,Denmark,5781190,0.052,0.150,0.159,0.117,0.133,0.196,0.112,0.060,0.021,329865537183,195901,6428700,55.41N,12.34E
14,Finland,5513130,0.051,0.143,0.146,0.127,0.120,0.200,0.123,0.065,0.027,252301837573,21721,14610550,60.15N,25.03E
15,Norway,5295619,0.057,0.157,0.160,0.134,0.139,0.185,0.098,0.049,0.022,399488897844,29122,12277220,59.55N,10.45E
16,Ireland,4830392,0.066,0.181,0.145,0.152,0.146,0.171,0.081,0.043,0.015,331430014003,26185,170161850,53.21N,06.15W
